问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,73,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(_lblTime);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,72,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(_lblSender);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,72,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(_lblSender);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,72,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(_lblSender);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,72,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(_lblSender);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,70,12,T:System.Windows.Forms.Label,,,,,_lblFileName.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,70,12,P:System.Windows.Forms.Control.Visible,,,,,_lblFileName.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,69,12,T:System.Windows.Forms.Label,,,,,"_lblFileName.Location = new Point(10, 10);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,69,12,P:System.Windows.Forms.Control.Location,,,,,"_lblFileName.Location = new Point(10, 10);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,68,12,T:System.Windows.Forms.Cursors,,,,,_lblFileName.Cursor = Cursors.Hand;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,68,12,T:System.Windows.Forms.Cursor,,,,,_lblFileName.Cursor = Cursors.Hand;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,68,12,P:System.Windows.Forms.Cursors.Hand,,,,,_lblFileName.Cursor = Cursors.Hand;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,68,12,T:System.Windows.Forms.Label,,,,,_lblFileName.Cursor = Cursors.Hand;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,68,12,T:System.Windows.Forms.Cursor,,,,,_lblFileName.Cursor = Cursors.Hand;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,68,12,P:System.Windows.Forms.Control.Cursor,,,,,_lblFileName.Cursor = Cursors.Hand;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,67,12,T:System.Windows.Forms.Label,,,,,_lblFileName.ForeColor = Color.Blue;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,67,12,P:System.Windows.Forms.Control.ForeColor,,,,,_lblFileName.ForeColor = Color.Blue;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,66,12,T:System.Drawing.FontStyle,,,,,"_lblFileName.Font = new Font(""Microsoft Sans Serif"", 9F, FontStyle.Underline);"
